ID,Name,EventType_ID
RFQ_TEMPLATE, RFQ Template Demo 1,RFQ
RFP_TEMPLATE, RFP Template Demo 1,RFP
FWD_TEMPLATE, Forward Auction Template Demo 1,FWD
RVA_TEMPLATE, Reverse Auction Template Demo 1,RVA
1RFP_TEMPLATE, RFP Template Demo 2,RFP
2RFP_TEMPLATE, RFP Template Demo 3,RFP
3RFP_TEMPLATE, RFP Template Demo 4,RFP
4RFP_TEMPLATE, RFP Template Demo 5,RFP
5RFP_TEMPLATE, RFP Template Demo 1,RFP
6RFP_TEMPLATE, RFP Template Demo 1,RFP
7RFP_TEMPLATE, RFP Template Demo 1,RFP
8RFP_TEMPLATE, RFP Template Demo 1,RFP
9RFP_TEMPLATE, RFP Template Demo 1,RFP
10RFP_TEMPLATE, RFP Template Demo 1,RFP
11RFP_TEMPLATE, RFP Template Demo 1,RFP
12RFP_TEMPLATE, RFP Template Demo 1,RFP
13RFP_TEMPLATE, RFP Template Demo 1,RFP
14RFP_TEMPLATE, RFP Template Demo 1,RFP
15RFP_TEMPLATE, RFP Template Demo 1,RFP
16RFP_TEMPLATE, RFP Template Demo 1,RFP
17RFP_TEMPLATE, RFP Template Demo 1,RFP
18RFP_TEMPLATE, RFP Template Demo 1,RFP
19RFP_TEMPLATE, RFP Template Demo 1,RFP
20RFP_TEMPLATE, RFP Template Demo 1,RFP
21RFP_TEMPLATE, RFP Template Demo 1,RFP
22RFP_TEMPLATE, RFP Template Demo 1,RFP
23RFP_TEMPLATE, RFP Template Demo 1,RFP
24RFP_TEMPLATE, RFP Template Demo 1,RFP
25RFP_TEMPLATE, RFP Template Demo 1,RFP
26RFP_TEMPLATE, RFP Template Demo 1,RFP
27RFP_TEMPLATE, RFP Template Demo 1,RFP
28RFP_TEMPLATE, RFP Template Demo 1,RFP
29RFP_TEMPLATE, RFP Template Demo 1,RFP
30RFP_TEMPLATE, RFP Template Demo 1,RFP
31RFP_TEMPLATE, RFP Template Demo 1,RFP
32RFP_TEMPLATE, RFP Template Demo 1,RFP
33RFP_TEMPLATE, RFP Template Demo 1,RFP
34RFP_TEMPLATE, RFP Template Demo 1,RFP
35RFP_TEMPLATE, RFP Template Demo 1,RFP
36RFP_TEMPLATE, RFP Template Demo 1,RFP
37RFP_TEMPLATE, RFP Template Demo 1,RFP
38RFP_TEMPLATE, RFP Template Demo 1,RFP
39RFP_TEMPLATE, RFP Template Demo 1,RFP
RFP_TEMPLATE40, RFP Template Demo 1,RFP
RFP_TEMPLATE41, RFP Template Demo 1,RFP
RFP_TEMPLATE42, RFP Template Demo 1,RFP
